,word,category,sentiment
669,pompous,negative,-1
670,redress,positive,1
671,special,positive,1
672,joker,positive,1
673,ultim,positive,1
674,compliment,positive,1
675,horror,negative,-1
676,elder,positive,1
677,shed,negative,-1
678,epic,positive,1
679,money,positive,1
680,provok,negative,-1
681,falsiti,negative,-1
682,misplac,negative,-1
683,pleasant,positive,1
684,disagre,negative,-1
685,ordin,positive,1
686,aw,negative,-1
687,travel,positive,1
688,inmat,negative,-1
689,kidnap,negative,-1
690,purif,positive,1
691,forward,positive,1
692,sectarian,negative,-1
693,ultimatum,negative,-1
694,preserv,positive,1
695,mele,negative,-1
696,unsettl,negative,-1
697,mad,negative,-1
698,epidem,negative,-1
699,fireproof,positive,1
700,detritus,negative,-1
701,velvet,positive,1
702,stool,negative,-1
703,secret,negative,-1
704,firm,positive,1
705,cull,negative,-1
706,wretch,negative,-1
707,flatul,negative,-1
708,exquisit,positive,1
709,unoffici,negative,-1
710,interrupt,negative,-1
711,choir,positive,1
712,overjoy,positive,1
713,yelp,negative,-1
714,defect,negative,-1
715,accus,negative,-1
716,prey,negative,-1
717,endeavor,positive,1
718,cross,negative,-1
719,charad,negative,-1
720,lure,negative,-1
721,prophylact,positive,1
722,boo,negative,-1
723,bilingu,positive,1
724,falsif,negative,-1
725,persist,positive,1
726,nurseri,positive,1
727,wretch,negative,-1
728,varicella,negative,-1
729,clean,positive,1
730,lous,negative,-1
731,postpon,negative,-1
732,flatter,positive,1
733,diminish,negative,-1
734,furi,negative,-1
735,scintilla,positive,1
736,bridesmaid,positive,1
737,dismiss,negative,-1
738,muff,negative,-1
739,snarl,negative,-1
740,bargain,positive,1
741,qualifi,positive,1
742,relev,positive,1
743,ugli,negative,-1
744,imperfect,negative,-1
745,procedur,positive,1
746,servant,negative,-1
747,disclaim,negative,-1
748,rescu,positive,1
749,confid,positive,1
750,lifeless,negative,-1
751,obscen,negative,-1
752,prestig,positive,1
753,misbehavior,negative,-1
754,deleg,positive,1
755,oasi,positive,1
756,grasp,negative,-1
757,gentl,positive,1
758,corros,negative,-1
759,slaveri,negative,-1
760,disast,negative,-1
761,ill,negative,-1
762,noisi,negative,-1
763,involuntari,negative,-1
764,swollen,negative,-1
765,annoy,negative,-1
766,disappoint,negative,-1
767,captiv,negative,-1
768,disagre,negative,-1
769,explos,negative,-1
770,lessen,negative,-1
771,defect,negative,-1
772,penchant,positive,1
773,slimi,negative,-1
774,solvenc,positive,1
775,grist,positive,1
776,fruitless,negative,-1
777,famous,positive,1
778,pastur,positive,1
779,good,positive,1
780,numb,negative,-1
781,suppress,negative,-1
782,scalpel,negative,-1
783,faulti,negative,-1
784,molest,negative,-1
785,entangl,negative,-1
786,deplor,negative,-1
787,animos,negative,-1
788,carnal,negative,-1
789,swim,positive,1
790,indiffer,negative,-1
791,banshe,negative,-1
792,defens,positive,1
793,nobleman,positive,1
794,disservic,negative,-1
795,delay,negative,-1
796,tobacco,negative,-1
797,shrewd,positive,1
798,stereotyp,negative,-1
799,deliber,positive,1
800,scar,negative,-1
801,toad,negative,-1
802,joke,negative,-1
803,priest,positive,1
804,obes,negative,-1
805,blue,negative,-1
806,cabal,negative,-1
807,tan,positive,1
808,recess,negative,-1
809,pet,negative,-1
810,veto,negative,-1
811,strike,positive,1
812,fineri,positive,1
813,duke,positive,1
814,divest,negative,-1
815,rider,positive,1
816,digniti,positive,1
817,urchin,negative,-1
818,rife,negative,-1
819,acquir,positive,1
820,feebl,negative,-1
821,household,positive,1
822,danc,positive,1
823,negoti,positive,1
824,fascin,positive,1
825,devil,negative,-1
826,reimburs,positive,1
827,bookshop,positive,1
828,labyrinth,negative,-1
829,withstand,positive,1
830,embroil,negative,-1
831,desert,negative,-1
832,leukemia,negative,-1
833,hurrican,negative,-1
834,homicid,negative,-1
835,expel,negative,-1
836,emin,positive,1
837,sultri,positive,1
838,hit,negative,-1
839,invit,positive,1
840,synod,positive,1
841,robust,positive,1
842,biopsi,negative,-1
843,august,positive,1
844,harri,negative,-1
845,wot,positive,1
846,worri,negative,-1
847,surcharg,negative,-1
848,guidebook,positive,1
849,marvel,positive,1
850,fond,positive,1
851,rat,negative,-1
852,cup,negative,-1
853,monstros,negative,-1
854,mob,negative,-1
855,discourag,negative,-1
856,trespass,negative,-1
857,sedit,negative,-1
858,lewd,negative,-1
859,plenari,positive,1
860,suffici,positive,1
861,douch,negative,-1
862,liquor,negative,-1
863,improv,positive,1
864,ahead,positive,1
865,respect,positive,1
866,loom,negative,-1
867,record,positive,1
868,broadsid,negative,-1
869,music,positive,1
870,fail,negative,-1
871,care,positive,1
872,suffer,negative,-1
873,gorilla,negative,-1
874,relianc,positive,1
875,arson,negative,-1
876,lump,negative,-1
877,deserv,positive,1
878,complex,negative,-1
879,sordid,negative,-1
880,praiseworthi,positive,1
881,lenient,positive,1
882,disfigur,negative,-1
883,improv,positive,1
884,suspect,negative,-1
885,ulterior,negative,-1
886,traitor,negative,-1
887,resourc,positive,1
888,vagu,negative,-1
889,fray,negative,-1
890,lesbian,negative,-1
891,climax,positive,1
892,retract,negative,-1
893,mourn,negative,-1
894,valiant,positive,1
895,brag,negative,-1
896,mutini,negative,-1
897,indecis,negative,-1
898,fusion,positive,1
899,brimston,negative,-1
900,abba,positive,1
901,epilepsi,negative,-1
902,laugh,positive,1
903,reflux,negative,-1
904,plexus,positive,1
905,merri,positive,1
906,endem,negative,-1
907,exhaust,negative,-1
908,rebuk,negative,-1
909,infant,positive,1
910,career,positive,1
911,enthusiast,positive,1
912,accur,positive,1
913,insuffici,negative,-1
914,disregard,negative,-1
915,avers,negative,-1
916,remov,negative,-1
917,uninterest,negative,-1
918,savvi,positive,1
919,durabl,positive,1
920,unsatisfactori,negative,-1
921,guil,negative,-1
922,slur,negative,-1
923,creativ,positive,1
924,affirm,positive,1
925,immatur,negative,-1
926,of,negative,-1
927,impecc,positive,1
928,corrupt,negative,-1
929,patronag,positive,1
930,forg,positive,1
931,doit,negative,-1
932,parentag,positive,1
933,moral,positive,1
934,award,positive,1
935,sleek,positive,1
936,dishonor,negative,-1
937,destruct,negative,-1
938,unsavori,negative,-1
939,sepsi,negative,-1
940,anchor,positive,1
941,apt,positive,1
942,lower,negative,-1
943,frighten,negative,-1
944,interlocutori,positive,1
945,barbar,negative,-1
946,lower,negative,-1
947,contract,negative,-1
948,intrud,negative,-1
949,makeshift,negative,-1
950,physic,positive,1
951,heaven,positive,1
952,resign,negative,-1
953,indig,negative,-1
954,instruct,positive,1
955,harmoni,positive,1
956,worri,negative,-1
957,infract,negative,-1
958,affirm,positive,1
959,picket,negative,-1
960,dash,positive,1
961,sanitari,positive,1
962,prophet,positive,1
963,inciner,negative,-1
964,derog,negative,-1
965,happi,positive,1
966,disinform,negative,-1
967,shatter,negative,-1
968,infect,negative,-1
969,erupt,negative,-1
970,contamin,negative,-1
971,intim,positive,1
972,gout,negative,-1
973,philosoph,positive,1
974,ador,positive,1
975,hurt,negative,-1
976,crucifixion,negative,-1
977,forfeit,negative,-1
978,confisc,negative,-1
979,toilet,negative,-1
980,inquiri,positive,1
981,flea,negative,-1
982,bliss,positive,1
983,turbul,negative,-1
984,disgrac,negative,-1
985,aggress,negative,-1
986,clap,positive,1
987,commit,positive,1
988,uniniti,negative,-1
989,occupi,positive,1
990,hag,negative,-1
991,boycott,negative,-1
992,power,positive,1
993,conserv,positive,1
994,escal,negative,-1
995,drivel,negative,-1
996,salari,positive,1
997,neglig,negative,-1
998,metropolitan,positive,1
999,deferr,negative,-1
1000,tiff,negative,-1
1001,overthrow,negative,-1
1002,havoc,negative,-1
1003,filibust,negative,-1
1004,cultur,positive,1
1005,imparti,positive,1
1006,guid,positive,1
1007,sucker,negative,-1
1008,smug,negative,-1
1009,earnest,positive,1
1010,wors,negative,-1
1011,impair,negative,-1
1012,broken,negative,-1
1013,choic,positive,1
1014,pimp,negative,-1
1015,innoc,positive,1
1016,impur,negative,-1
1017,discomfort,negative,-1
1018,polish,positive,1
1019,indict,negative,-1
1020,worth,positive,1
1021,cutthroat,negative,-1
1022,indec,negative,-1
1023,invit,positive,1
1024,sciatica,negative,-1
1025,powerless,negative,-1
1026,caress,positive,1
1027,scorpion,negative,-1
1028,accomplish,positive,1
1029,wrestl,negative,-1
1030,butcher,negative,-1
1031,perpetu,negative,-1
1032,whip,negative,-1
1033,concuss,negative,-1
1034,sprite,negative,-1
1035,obtain,positive,1
1036,declaratori,positive,1
1037,insol,negative,-1
1038,goo,negative,-1
1039,applaus,positive,1
1040,errat,negative,-1
1041,craft,positive,1
1042,suitabl,positive,1
1043,refus,negative,-1
1044,thirsti,negative,-1
1045,grenad,negative,-1
1046,backwat,negative,-1
1047,rapt,positive,1
1048,sabotag,negative,-1
1049,inter,negative,-1
1050,humorist,positive,1
1051,esteem,positive,1
1052,pinnacl,positive,1
1053,shun,negative,-1
1054,shape,positive,1
1055,tragedi,negative,-1
1056,startl,negative,-1
1057,disord,negative,-1
1058,emerg,negative,-1
1059,abandon,negative,-1
1060,murder,negative,-1
1061,incompat,negative,-1
1062,maniac,negative,-1
1063,allur,positive,1
1064,herp,negative,-1
1065,babi,positive,1
1066,obituari,negative,-1
1067,incredul,negative,-1
1068,render,positive,1
1069,uniqu,positive,1
1070,ordnanc,negative,-1
1071,perpetu,positive,1
1072,abandon,negative,-1
1073,bite,negative,-1
